name,total_sales,sum(sale_liters)
HY-VEE FOOD STORE / OSCEOLA,240954.61,14270.589999999998
B S MINI MART INC,239233.73000000004,9128.61
HY-VEE STORE / PERRY,238943.55000000002,15345.249999999998
J D SPIRITS LIQUOR,238860.44999999987,13935.18999999999
SCHOTTSY'S LIQUOR,238782.53,15637.609999999997
WAL-MART 0750 / INDEPENDENCE,237083.79999999993,15829.699999999999
NEW STAR MART  /  NEWTON,236815.71999999997,12967.479999999998
EZ STOP / DAVENPORT,236006.30999999997,12169.719999999998
WAUKEE LIQUOR & FOOD MART / WAUKEE,235806.39000000004,7742.0999999999985
FORBES LIQUOR LOCKER / REMI,235785.88999999998,13789.500000000002
FAREWAY STORES #147 / CARLISLE,235203.40000000002,15816.069999999998
ONE STOP SHOP #3 / ALGONA,234447.59999999998,14910.649999999994
HY-VEE DOLLAR FRESH / ORANGE CITY,234423.97999999995,14122.62
FAREWAY STORES #829 / SIOUX CITY,234369.51,15344.800000000001
NEIGHBORHOOD LIQUOR HOUSE / ANKENY,234216.52999999994,7983.810000000002
ROYAL FOOD & LIQUOR / DES MOINES,233691.84999999992,8829.460000000001
WAL-MART 1528 / CEDAR RAPIDS,233644.37,14323.899999999998
QUICK STOP / CEDAR RAPIDS,233498.09999999995,10188.390000000001
FAREWAY STORES #151 / CEDAR RAPIDS,232707.41000000003,19010.499999999996
KIMBERLY MART / DAVENPORT,231902.51999999996,8116.230000000001
FAREWAY STORES #190 / CEDAR FALLS,230609.51999999993,14252.119999999997
FAREWAY STORES #409 / CARROLL,230581.93999999997,16695.9
DING'S HONK'N HOLLER,230450.41,13129.089999999997
MINI-MART / CEDAR FALLS,229907.13999999996,14489.859999999999
